Código Município Completo;Nome_UF;Nome_Mesorregião;Nome_Microrregião;Nome_Município;Area_Municipio;;;;;
1504752;Pará;Baixo Amazonas;Santarém;Mojuí dos Campos;Área Rural;;;;;
1504802;Pará;Baixo Amazonas;Santarém;Monte Alegre;Área Rural;;;;;
1504901;Pará;Marajó;Arari;Muaná;Área Rural;;;;;
1504950;Pará;Nordeste Paraense;Guamá;Nova Esperança do Piriá;Área Rural;;;;;
1504976;Pará;Sudeste Paraense;Tucuruí;Nova Ipixuna;Área Rural;;;;;
1505007;Pará;Nordeste Paraense;Bragantina;Nova Timboteua;Área Rural;;;;;
1505031;Pará;Sudoeste Paraense;Itaituba;Novo Progresso;Área Rural;;;;;
1505064;Pará;Sudeste Paraense;Tucuruí;Novo Repartimento;Área Rural;;;;;
1505106;Pará;Baixo Amazonas;Óbidos;Óbidos;Centro Urbano;;;;;
1505205;Pará;Nordeste Paraense;Cametá;Oeiras do Pará;Área Rural;;;;;
1505304;Pará;Baixo Amazonas;Óbidos;Oriximiná;Área Rural;;;;;
1505403;Pará;Nordeste Paraense;Guamá;Ourém;Área Rural;;;;;
1505437;Pará;Sudeste Paraense;São Félix do Xingu;Ourilândia do Norte;Área Rural;;;;;
1505486;Pará;Sudoeste Paraense;Altamira;Pacajá;Área Rural;;;;;
1505494;Pará;Sudeste Paraense;Marabá;Palestina do Pará;Área Rural;;;;;
1505502;Pará;Sudeste Paraense;Paragominas;Paragominas;Centro Urbano;;;;;
1505536;Pará;Sudeste Paraense;Parauapebas;Parauapebas;Centro Urbano;;;;;
1505551;Pará;Sudeste Paraense;Redenção;Pau D'Arco;Área Rural;;;;;
1505601;Pará;Nordeste Paraense;Bragantina;Peixe-Boi;Área Rural;;;;;
1505635;Pará;Sudeste Paraense;Redenção;Piçarra;Área Rural;;;;;
1505650;Pará;Baixo Amazonas;Santarém;Placas;Área Rural;;;;;
1505700;Pará;Marajó;Arari;Ponta de Pedras;Área Rural;;;;;
1505809;Pará;Marajó;Portel;Portel;Centro Urbano;;;;;
1505908;Pará;Baixo Amazonas;Almeirim;Porto de Moz;Área Rural;;;;;
1506005;Pará;Baixo Amazonas;Santarém;Prainha;Área Rural;;;;;
1506104;Pará;Nordeste Paraense;Bragantina;Primavera;Área Rural;;;;;
1506112;Pará;Nordeste Paraense;Bragantina;Quatipuru;Área Rural;;;;;
1506138;Pará;Sudeste Paraense;Redenção;Redenção;Centro Urbano;;;;;
1506161;Pará;Sudeste Paraense;Redenção;Rio Maria;Área Rural;;;;;
1506187;Pará;Sudeste Paraense;Paragominas;Rondon do Pará;Área Rural;;;;;
1506195;Pará;Sudoeste Paraense;Itaituba;Rurópolis;Área Rural;;;;;
1506203;Pará;Nordeste Paraense;Salgado;Salinópolis;Área Rural;;;;;
1506302;Pará;Marajó;Arari;Salvaterra;Área Rural;;;;;
1506351;Pará;Metropolitana de Belém;Belém;Santa Bárbara do Pará;Área Rural;;;;;
1506401;Pará;Marajó;Arari;Santa Cruz do Arari;Área Rural;;;;;
1506500;Pará;Metropolitana de Belém;Castanhal;Santa Izabel do Pará;Área Rural;;;;;
1506559;Pará;Nordeste Paraense;Guamá;Santa Luzia do Pará;Área Rural;;;;;
1506583;Pará;Sudeste Paraense;Conceição do Araguaia;Santa Maria das Barreiras;Área Rural;;;;;
1506609;Pará;Nordeste Paraense;Bragantina;Santa Maria do Pará;Área Rural;;;;;
1506708;Pará;Sudeste Paraense;Conceição do Araguaia;Santana do Araguaia;Área Rural;;;;;
1506807;Pará;Baixo Amazonas;Santarém;Santarém;Centro Urbano;;;;;
1506906;Pará;Nordeste Paraense;Bragantina;Santarém Novo;Área Rural;;;;;
1507003;Pará;Metropolitana de Belém;Castanhal;Santo Antônio do Tauá;Área Rural;;;;;
1507102;Pará;Nordeste Paraense;Salgado;São Caetano de Odivelas;Área Rural;;;;;
1507151;Pará;Sudeste Paraense;Marabá;São Domingos do Araguaia;Área Rural;;;;;
1507201;Pará;Nordeste Paraense;Guamá;São Domingos do Capim;Área Rural;;;;;
1507300;Pará;Sudeste Paraense;São Félix do Xingu;São Félix do Xingu;Centro Urbano;;;;;
1507409;Pará;Nordeste Paraense;Bragantina;São Francisco do Pará;Área Rural;;;;;
1507458;Pará;Sudeste Paraense;Redenção;São Geraldo do Araguaia;Área Rural;;;;;
1507466;Pará;Nordeste Paraense;Salgado;São João da Ponta;Área Rural;;;;;
1507474;Pará;Nordeste Paraense;Salgado;São João de Pirabas;Área Rural;;;;;
1507508;Pará;Sudeste Paraense;Marabá;São João do Araguaia;Área Rural;;;;;
1507607;Pará;Nordeste Paraense;Guamá;São Miguel do Guamá;Área Rural;;;;;
1507706;Pará;Marajó;Furos de Breves;São Sebastião da Boa Vista;Área Rural;;;;;
1507755;Pará;Sudeste Paraense;Redenção;Sapucaia;Área Rural;;;;;
1507805;Pará;Sudoeste Paraense;Altamira;Senador José Porfírio;Área Rural;;;;;
1507904;Pará;Marajó;Arari;Soure;Área Rural;;;;;
1507953;Pará;Nordeste Paraense;Tomé-Açu;Tailândia;Área Rural;;;;;
1507961;Pará;Nordeste Paraense;Salgado;Terra Alta;Área Rural;;;;;
1507979;Pará;Baixo Amazonas;Óbidos;Terra Santa;Área Rural;;;;;
1508001;Pará;Nordeste Paraense;Tomé-Açu;Tomé-Açu;Centro Urbano;;;;;
1508035;Pará;Nordeste Paraense;Bragantina;Tracuateua;Área Rural;;;;;
1508050;Pará;Sudoeste Paraense;Itaituba;Trairão;Área Rural;;;;;
1508084;Pará;Sudeste Paraense;São Félix do Xingu;Tucumã;Área Rural;;;;;
1508100;Pará;Sudeste Paraense;Tucuruí;Tucuruí;Centro Urbano;;;;;
1508126;Pará;Sudeste Paraense;Paragominas;Ulianópolis;Área Rural;;;;;
1508159;Pará;Sudoeste Paraense;Altamira;Uruará;Área Rural;;;;;
1508209;Pará;Nordeste Paraense;Salgado;Vigia;Área Rural;;;;;
1508308;Pará;Nordeste Paraense;Guamá;Viseu;Área Rural;;;;;
1508357;Pará;Sudoeste Paraense;Altamira;Vitória do Xingu;Área Rural;;;;;
1508407;Pará;Sudeste Paraense;Redenção;Xinguara;Área Rural;;;;;
1600105;Amapá;Norte do Amapá;Amapá;Amapá;Centro Urbano;;;;;
1600204;Amapá;Norte do Amapá;Oiapoque;Calçoene;Área Rural;;;;;
1600212;Amapá;Sul do Amapá;Macapá;Cutias;Área Rural;;;;;
1600238;Amapá;Sul do Amapá;Macapá;Ferreira Gomes;Área Rural;;;;;
1600253;Amapá;Sul do Amapá;Macapá;Itaubal;Área Rural;;;;;
1600279;Amapá;Sul do Amapá;Mazagão;Laranjal do Jari;Área Rural;;;;;
1600303;Amapá;Sul do Amapá;Macapá;Macapá;Centro Urbano;;;;;
1600402;Amapá;Sul do Amapá;Mazagão;Mazagão;Centro Urbano;;;;;
1600501;Amapá;Norte do Amapá;Oiapoque;Oiapoque;Centro Urbano;;;;;
1600154;Amapá;Sul do Amapá;Macapá;Pedra Branca do Amapari;Área Rural;;;;;
1600535;Amapá;Sul do Amapá;Macapá;Porto Grande;Área Rural;;;;;
1600550;Amapá;Norte do Amapá;Amapá;Pracuúba;Área Rural;;;;;
1600600;Amapá;Sul do Amapá;Macapá;Santana;Área Rural;;;;;
1600055;Amapá;Sul do Amapá;Macapá;Serra do Navio;Área Rural;;;;;
1600709;Amapá;Norte do Amapá;Amapá;Tartarugalzinho;Área Rural;;;;;
1600808;Amapá;Sul do Amapá;Mazagão;Vitória do Jari;Área Rural;;;;;
